id,city,macrozone,neighbourhood,price,price_per_sqm,surface,rooms,floor,type
102247452,Milano,Centro,Brera,,,229.0,4.0,2,Appartamento
102880380,Milano,Centro,Brera,3700000.0,10882.35294117647,340.0,5.0,3,Appartamento
99625284,Milano,Centro,Brera,,,210.0,4.0,1,Appartamento
102967138,Milano,Centro,Brera,380000.0,14615.384615384615,26.0,1.0,T,Appartamento
102589448,Milano,Centro,Brera,,,282.0,5.0,2 - 3,Appartamento
103425498,Milano,Centro,Brera,2350000.0,11750.0,200.0,4.0,3,Appartamento
103698300,Milano,Centro,Brera,,,200.0,5.0,3,Appartamento
100700393,Milano,Centro,Brera,1050000.0,15000.0,70.0,2.0,3,Appartamento
103692080,Milano,Centro,Brera,1050000.0,11052.631578947368,95.0,3.0,1,Appartamento
100334910,Milano,Centro,Brera,2150000.0,12874.251497005987,167.0,4.0,,Appartamento
103014344,Milano,Centro,Brera,990000.0,8608.695652173914,115.0,3.0,5,Appartamento
103510046,Milano,Centro,Scala - Manzoni,2000000.0,25641.02564102564,78.0,2.0,2,Appartamento
98180160,Milano,Centro,Brera,2300000.0,9829.059829059828,234.0,4.0,1,Appartamento
103408456,Milano,Centro,Brera,1470000.0,15473.684210526315,95.0,4.0,2,Appartamento
98179692,Milano,Centro,Brera,2300000.0,9829.059829059828,234.0,4.0,1,Appartamento
101318179,Milano,Centro,Scala - Manzoni,2000000.0,25641.02564102564,78.0,3.0,2,Appartamento
102311000,Milano,Centro,Brera,2700000.0,14594.594594594595,185.0,4.0,5,Appartamento
103522422,Milano,Centro,Scala - Manzoni,,,280.0,4.0,5,Appartamento
97243448,Milano,Centro,Scala - Manzoni,2000000.0,25641.02564102564,78.0,2.0,2,Appartamento
103477398,Milano,Centro,Brera,,,206.0,5.0,5 - 6,Appartamento
102963638,Milano,Centro,Brera,770000.0,14000.0,55.0,1.0,4,Appartamento
83680825,Milano,Centro,Brera,3500000.0,14000.0,250.0,5.0,2,Appartamento
99478182,Milano,Centro,Brera,1550000.0,10839.160839160839,143.0,3.0,2,Appartamento
103387448,Milano,Centro,Brera,840000.0,9333.333333333334,90.0,2.0,R,Appartamento
103694242,Milano,Centro,Brera,,,250.0,4.0,2,Appartamento
87118400,Milano,Centro,Brera,3500000.0,14583.333333333334,240.0,4.0,2,Appartamento
57921884,Milano,Centro,Brera,,,250.0,4.0,2,Appartamento
103178118,Milano,Centro,Brera,3900000.0,21081.08108108108,185.0,4.0,3,Appartamento
100927893,Milano,Centro,Brera,2600000.0,19259.25925925926,135.0,3.0,4,Appartamento
87396362,Milano,Centro,Cadorna - Castello,,,91.0,2.0,,Appartamento
103148138,Milano,Centro,Brera,900000.0,18000.0,50.0,2.0,2,Appartamento
102259690,Milano,Centro,Brera,,,189.0,5.0,4,Appartamento
100926599,Milano,Centro,Brera,3900000.0,18571.428571428572,210.0,4.0,2,Appartamento
102930690,Milano,Centro,Brera,3500000.0,21341.463414634145,164.0,3.0,T,Appartamento
102047064,Milano,Centro,Brera,750000.0,10000.0,75.0,2.0,2,Appartamento
100865613,Milano,Centro,Brera,,,282.0,5.0,3,Attico
78174050,Milano,Centro,Quadrilatero della Moda,,,350.0,5.0,8,Attico
72079766,Milano,Centro,Cadorna - Castello,,,185.0,4.0,,Appartamento
83021535,Milano,Centro,Brera,,,206.0,3.0,,Appartamento
83022463,Milano,Centro,Brera,,,293.0,5.0,,Appartamento
71667140,Milano,Centro,Brera,,,110.0,3.0,R,Appartamento
99139570,Milano,Centro,Brera,,,120.0,2.0,5,Attico
87365354,Milano,Centro,Quadrilatero della Moda,,,280.0,4.0,2,Appartamento
101316099,Milano,Centro,Scala - Manzoni,,,280.0,5.0,5 - 7,Attico
103150342,Milano,Centro,Brera,,,260.0,4.0,2,Appartamento
87396708,Milano,Centro,Brera,3500000.0,14583.333333333334,240.0,5.0,2,Appartamento
102842590,Milano,Centro,Brera,550000.0,635.8381502890173,865.0,5.0,4,Palazzo - Edificio
103698468,Milano,Centro,Scala - Manzoni,,,80.0,3.0,2,Appartamento
102295848,Milano,Centro,Brera,,,205.0,5.0,3,Appartamento
